Id,SalePrice
1461,118015.5859375
1462,161118.078125
1463,183346.4375
1464,200555.640625
1465,180279.375
1466,172815.125
1467,175933.0
1468,171572.25
1469,189210.609375
1470,128314.390625
1471,202025.15625
1472,103850.234375
1473,99031.90625
1474,157784.75
1475,126748.1953125
1476,363066.3125
1477,246174.671875
1478,284730.71875
1479,248039.21875
1480,465672.875
1481,321258.625
1482,207692.109375
1483,178221.84375
1484,164252.078125
1485,173094.3125
1486,205629.6875
1487,320796.90625
1488,243715.984375
1489,200135.4375
1490,220696.578125
1491,191541.40625
1492,84479.2109375
1493,170180.703125
1494,268898.9375
1495,278293.90625
1496,234313.453125
1497,174760.265625
1498,161085.90625
1499,157380.671875
1500,157153.0625
1501,180627.53125
1502,151884.046875
1503,304500.5
1504,235357.1875
1505,223969.328125
1506,185512.125
1507,269619.40625
1508,196549.09375
1509,162213.890625
1510,150370.328125
1511,143904.203125
1512,168260.90625
1513,143661.09375
1514,143099.1875
1515,207288.921875
1516,147477.296875
1517,162177.6875
1518,123190.9609375
1519,229973.5
1520,138013.96875
1521,138946.65625
1522,163389.96875
1523,112062.3359375
1524,114835.03125
1525,119626.2734375
1526,109619.4453125
1527,100391.578125
1528,129944.078125
1529,149552.671875
1530,181971.4375
1531,112792.0390625
1532,98254.6171875
1533,154233.1875
1534,124053.859375
1535,151684.1875
1536,101446.1015625
1537,54261.8828125
1538,156192.703125
1539,182623.703125
1540,98272.9609375
1541,147371.015625
1542,129158.3828125
1543,219953.40625
1544,76649.2734375
1545,102965.4296875
1546,120200.8828125
1547,130204.1015625
1548,134604.609375
1549,118092.7890625
1550,129178.8515625
1551,113588.546875
1552,135732.078125
1553,152770.375
1554,108482.8203125
1555,163376.859375
1556,92135.796875
1557,106303.96875
1558,103142.328125
1559,72574.578125
1560,130049.1875
1561,140419.34375
1562,126601.703125
1563,121885.921875
1564,150779.890625
1565,146306.625
1566,241304.796875
1567,72069.5703125
1568,208814.921875
1569,136271.828125
1570,134565.890625
1571,127499.265625
1572,146251.609375
1573,266704.6875
1574,98867.0625
1575,231228.53125
1576,256241.21875
1577,202404.671875
1578,137164.28125
1579,143736.65625
1580,179777.140625
1581,162727.40625
1582,125758.34375
1583,310322.4375
1584,212285.640625
1585,140786.859375
1586,68610.5625
1587,100077.9453125
1588,157691.28125
1589,109211.609375
1590,138509.234375
1591,98275.5625
1592,126869.7734375
1593,123139.84375
1594,134924.453125
1595,103531.1171875
1596,234396.671875
1597,169146.875
1598,194023.765625
1599,166418.71875
1600,162127.28125
1601,57700.95703125
1602,103308.5546875
1603,92576.8046875
1604,265066.8125
1605,249678.453125
1606,171857.609375
1607,158987.234375
1608,217776.515625
1609,194847.6875
1610,165336.578125
1611,142840.03125
1612,173435.515625
1613,173074.234375
1614,134276.71875
1615,89832.1171875
1616,73811.4140625
1617,87550.7421875
1618,127096.828125
1619,145752.78125
1620,158502.3125
1621,141709.359375
1622,147514.421875
1623,269842.5625
1624,219565.1875
1625,129334.9140625
1626,165326.015625
1627,182651.21875
1628,296169.78125
1629,180421.953125
1630,353334.0625
1631,226813.078125
1632,233681.25
1633,174546.46875
1634,187556.296875
1635,176225.140625
1636,158596.296875
1637,199505.859375
1638,184202.3125
1639,177578.390625
1640,257319.625
1641,163552.828125
1642,234188.59375
1643,216968.0625
1644,232434.21875
1645,192173.53125
1646,159771.34375
1647,153623.796875
1648,134176.578125
1649,147221.53125
1650,114732.5703125
1651,124181.75
1652,93839.84375
1653,96488.640625
1654,152896.640625
1655,152428.53125
1656,146657.796875
1657,152597.28125
1658,148855.09375
1659,130383.0703125
1660,155111.90625
1661,455429.6875
1662,402207.46875
1663,399383.75
1664,461546.03125
1665,316940.375
1666,334354.34375
1667,411805.1875
1668,333518.375
1669,287099.28125
1670,347613.34375
1671,264183.59375
1672,455985.90625
1673,297285.625
1674,247563.140625
1675,191457.765625
1676,202677.53125
1677,223738.53125
1678,463255.125
1679,399585.75
1680,343820.46875
1681,254438.671875
1682,306016.1875
1683,172403.25
1684,167143.15625
1685,174104.5
1686,168375.90625
1687,170677.265625
1688,194043.90625
1689,198710.125
1690,190726.5625
1691,176875.921875
1692,263492.40625
1693,169665.71875
1694,180020.03125
1695,167617.015625
1696,259333.5
1697,176252.203125
1698,346791.40625
1699,319171.28125
1700,254327.75
1701,267362.5625
1702,241772.671875
1703,242085.3125
1704,280692.28125
